Day  ,JD  ,Month  ,State_id  ,Year  ,PRCP (in),SNOW (in),TAVE (F),TMAX (F),TMIN (F) 
10,10,1,'212142',1896,0,.,33,47,18 
11,11,1,'212142',1896,0,.,20,38,1 
12,12,1,'212142',1896,0,.,-4,4,-11 
13,13,1,'212142',1896,0,.,1,14,-13 
14,14,1,'212142',1896,0.1,.,.,10,. 
15,15,1,'212142',1896,0,.,2,19,-16 
16,16,1,'212142',1896,0,.,-3,11,-16 
17,17,1,'212142',1896,0,.,-3,11,-16 
18,18,1,'212142',1896,0,.,-7,6,-19 
19,19,1,'212142',1896,0,.,4,21,-14 
20,20,1,'212142',1896,0,.,19,33,4 
21,21,1,'212142',1896,0,.,23,36,9 
22,22,1,'212142',1896,0,.,22,35,8 
23,23,1,'212142',1896,0,.,3,12,-6 
24,24,1,'212142',1896,0,.,9,18,0 
25,25,1,'212142',1896,0,.,1,15,-13 
26,26,1,'212142',1896,0,.,4,17,-10 
27,27,1,'212142',1896,0,.,19,34,4 
28,28,1,'212142',1896,0,.,24,32,15 
29,29,1,'212142',1896,0,.,20,28,11 
30,30,1,'212142',1896,0,.,29,36,22 
31,31,1,'212142',1896,0,.,27,36,18 
1,32,2,'212142',1896,0,.,25,40,10 
2,33,2,'212142',1896,0,.,.,.,. 
3,34,2,'212142',1896,0,0,28,43,13 
4,35,2,'212142',1896,0,0,28,38,18 
5,36,2,'212142',1896,0,.,19,22,15 
6,37,2,'212142',1896,0.38,3.8,14,19,8 
7,38,2,'212142',1896,0,.,2,10,-6 
8,39,2,'212142',1896,0,.,21,29,12 
9,40,2,'212142',1896,0,.,.,.,. 
10,41,2,'212142',1896,0,.,.,.,. 
11,42,2,'212142',1896,0,.,5,29,-19 
12,43,2,'212142',1896,0.03,0.3,8,22,-7 
13,44,2,'212142',1896,0,.,0,19,-19 
14,45,2,'212142',1896,0,.,-3,15,-21 
15,46,2,'212142',1896,0,.,-4,13,-20 
16,47,2,'212142',1896,0,.,-2,18,-21 
17,48,2,'212142',1896,0,.,26,34,18 
18,49,2,'212142',1896,0.25,.,9,21,-4 
19,50,2,'212142',1896,0,0,-13,-4,-21 
20,51,2,'212142',1896,0,0,-3,19,-25 
21,52,2,'212142',1896,0,0,19,38,0 
22,53,2,'212142',1896,0,0,27,48,6 
23,54,2,'212142',1896,0,0,25,40,10 
24,55,2,'212142',1896,0,0,27,42,12 
25,56,2,'212142',1896,0,0,38,49,26 
26,57,2,'212142',1896,0,0,40,51,28 
27,58,2,'212142',1896,0,0,34,48,19 
28,59,2,'212142',1896,0,0,16,29,3 
29,60,2,'212142',1896,0.43,6,16,25,6 
1,61,3,'212142',1896,0,0,.,17,. 
2,62,3,'212142',1896,0,0,4,26,-18 
3,63,3,'212142',1896,0,0,18,28,8 
4,64,3,'212142',1896,0,.,25,35,15 
5,65,3,'212142',1896,0,.,27,42,12 
6,66,3,'212142',1896,0.4,.,27,42,12 
7,67,3,'212142',1896,0,0,8,30,-15 
8,68,3,'212142',1896,0,0,10,35,-15 
9,69,3,'212142',1896,0,0,25,32,17 
10,70,3,'212142',1896,0.1,.,22,34,10 
11,71,3,'212142',1896,0,0,3,13,-7 
12,72,3,'212142',1896,0,0,-11,11,-33 
13,73,3,'212142',1896,0,0,.,.,-31 
14,74,3,'212142',1896,0,0,-11,10,-32 
15,75,3,'212142',1896,0,0,-1,8,-10 
16,76,3,'212142',1896,0,0,11,29,-8 
17,77,3,'212142',1896,0,0,13,31,-6 
18,78,3,'212142',1896,0.1,.,22,28,16 
19,79,3,'212142',1896,0,0,24,31,16 
20,80,3,'212142',1896,0,0,24,42,6 
21,81,3,'212142',1896,0,0,18,45,-9 
22,82,3,'212142',1896,0,0,18,45,-9 
23,83,3,'212142',1896,0,0,.,38,. 
24,84,3,'212142',1896,0,0,39,60,18 
25,85,3,'212142',1896,0.1,0,33,45,21 
26,86,3,'212142',1896,0,0,23,33,12 
27,87,3,'212142',1896,0,0,37,46,28 
28,88,3,'212142',1896,0,.,40,48,32 
29,89,3,'212142',1896,0.12,.,37,44,30 
30,90,3,'212142',1896,0,0,36,50,22 
31,91,3,'212142',1896,0,0,29,34,24 
1,92,4,'212142',1896,0.13,.,21,27,15 
2,93,4,'212142',1896,0,0,21,31,11 
3,94,4,'212142',1896,0,0,27,45,9 
4,95,4,'212142',1896,0,0,35,49,21 
5,96,4,'212142',1896,0,0,32,40,24 
6,97,4,'212142',1896,0,0,35,55,15 
7,98,4,'212142',1896,0,0,34,40,28 
8,99,4,'212142',1896,.,.,29,32,26 
9,100,4,'212142',1896,0.42,2.5,42,51,33 
10,101,4,'212142',1896,0,0,41,50,32 
11,102,4,'212142',1896,0.03,0,38,43,33 
12,103,4,'212142',1896,.,.,38,43,32 
13,104,4,'212142',1896,0.67,0,45,53,36 
14,105,4,'212142',1896,0.2,0,47,57,37 
15,106,4,'212142',1896,0,.,49,62,36 
16,107,4,'212142',1896,.,0,41,53,29 
17,108,4,'212142',1896,.,.,36,43,28 
18,109,4,'212142',1896,0.7,0,58,79,36 
19,110,4,'212142',1896,0,2.5,44,57,31 
20,111,4,'212142',1896,.,.,42,56,28 
21,112,4,'212142',1896,.,.,42,56,28 
22,113,4,'212142',1896,.,.,51,60,41 
23,114,4,'212142',1896,0.16,.,53,57,48 
24,115,4,'212142',1896,.,.,56,69,43 
25,116,4,'212142',1896,0.02,.,52,70,33 
26,117,4,'212142',1896,0.02,.,58,80,35 
27,118,4,'212142',1896,0,.,66,80,51 
28,119,4,'212142',1896,.,.,64,71,57 
29,120,4,'212142',1896,0.44,.,63,71,54 
30,121,4,'212142',1896,0.13,.,53,60,45 
1,183,7,'212142',1896,.,.,82,96,68 
2,184,7,'212142',1896,0.22,.,82,94,70 
3,185,7,'212142',1896,.,.,74,87,60 
4,186,7,'212142',1896,.,.,65,73,57 
5,187,7,'212142',1896,.,.,68,79,56 
6,188,7,'212142',1896,.,.,67,78,56 
7,189,7,'212142',1896,.,.,61,76,45 
8,190,7,'212142',1896,.,.,63,74,51 
9,191,7,'212142',1896,.,.,66,72,59 
10,192,7,'212142',1896,.,.,66,72,60 
11,193,7,'212142',1896,.,.,79,92,66 
12,194,7,'212142',1896,.,.,83,96,69 
13,195,7,'212142',1896,0,.,77,88,66 
14,196,7,'212142',1896,.,.,70,80,59 
15,197,7,'212142',1896,.,.,71,86,56 
16,198,7,'212142',1896,.,.,61,76,46 
17,199,7,'212142',1896,0.3,.,71,83,58 
18,200,7,'212142',1896,.,.,69,81,57 
19,201,7,'212142',1896,0.99,.,64,82,46 
20,202,7,'212142',1896,.,.,69,85,52 
21,203,7,'212142',1896,.,.,64,76,51 
22,204,7,'212142',1896,.,.,68,84,51 
23,205,7,'212142',1896,0,.,69,88,49 
24,206,7,'212142',1896,0,.,60,73,47 
25,207,7,'212142',1896,0,.,69,78,59 
26,208,7,'212142',1896,0.15,.,64,80,47 
27,209,7,'212142',1896,.,.,67,84,50 
28,210,7,'212142',1896,0.43,.,69,80,58 
29,211,7,'212142',1896,.,.,79,91,67 
30,212,7,'212142',1896,0,.,67,83,51 
31,213,7,'212142',1896,.,.,68,76,59 
1,214,8,'212142',1896,0,.,66,79,52 
2,215,8,'212142',1896,0,.,67,82,52 
3,216,8,'212142',1896,0,.,78,87,69 
4,217,8,'212142',1896,0.67,.,77,94,59 
5,218,8,'212142',1896,0,.,68,76,59 
6,219,8,'212142',1896,0,.,67,83,50 
7,220,8,'212142',1896,0.36,.,69,87,51 
8,221,8,'212142',1896,0.32,.,76,90,62 
9,222,8,'212142',1896,0,.,72,82,62 
10,223,8,'212142',1896,0,.,67,84,49 
11,224,8,'212142',1896,0,.,70,89,50 
12,225,8,'212142',1896,0,.,56,71,41 
13,226,8,'212142',1896,0,.,65,79,50 
14,227,8,'212142',1896,0,.,70,88,52 
15,228,8,'212142',1896,0,.,70,87,52 
16,229,8,'212142',1896,0,.,57,78,36 
17,230,8,'212142',1896,0,.,55,72,38 
18,231,8,'212142',1896,0,.,56,74,37 
19,232,8,'212142',1896,0,.,59,71,47 
20,233,8,'212142',1896,0,.,.,.,. 
21,234,8,'212142',1896,0,.,71,82,59 
22,235,8,'212142',1896,0.27,.,69,80,58 
23,236,8,'212142',1896,0,.,.,.,. 
24,237,8,'212142',1896,0,.,.,.,. 
25,238,8,'212142',1896,0,.,.,.,. 
26,239,8,'212142',1896,0,.,54,70,38 
27,240,8,'212142',1896,0,.,63,89,37 
28,241,8,'212142',1896,0,.,61,80,41 
29,242,8,'212142',1896,0,.,72,86,58 
30,243,8,'212142',1896,0,.,65,82,47 
31,244,8,'212142',1896,0,.,54,74,34 
1,245,9,'212142',1896,0.1,.,58,77,38 
2,246,9,'212142',1896,0.35,.,60,71,49 
3,247,9,'212142',1896,0,.,54,68,40 
4,248,9,'212142',1896,0,.,53,66,39 
5,249,9,'212142',1896,0.6,.,59,72,45 
6,250,9,'212142',1896,0.07,.,.,70,. 
7,251,9,'212142',1896,0,.,58,71,44 
8,252,9,'212142',1896,0,.,72,88,56 
9,253,9,'212142',1896,0.09,.,68,84,51 
10,254,9,'212142',1896,0,.,54,64,43 
11,255,9,'212142',1896,0,.,48,64,31 
12,256,9,'212142',1896,0.09,.,59,77,40 
13,257,9,'212142',1896,0,.,59,68,50 
14,258,9,'212142',1896,0,.,54,64,44 
15,259,9,'212142',1896,1.01,.,54,63,44 
16,260,9,'212142',1896,0.5,.,56,63,48 
17,261,9,'212142',1896,0,.,57,68,45 
18,262,9,'212142',1896,0,.,.,65,. 
19,263,9,'212142',1896,0.08,.,46,64,27 
20,264,9,'212142',1896,0,.,43,58,28 
21,265,9,'212142',1896,0,.,.,69,. 
22,266,9,'212142',1896,0,.,41,55,26 
23,267,9,'212142',1896,0,.,49,60,37 
24,268,9,'212142',1896,0,.,58,70,46 
25,269,9,'212142',1896,0.5,.,53,76,30 
26,270,9,'212142',1896,0,.,50,68,32 
27,271,9,'212142',1896,0,.,48,64,32 
28,272,9,'212142',1896,0,.,53,66,40 
29,273,9,'212142',1896,0,.,57,71,43 
30,274,9,'212142',1896,0,.,60,80,39 
1,275,10,'212142',1896,0,0,55,78,32 
2,276,10,'212142',1896,0,0,57,79,34 
3,277,10,'212142',1896,0,0,63,69,57 
4,278,10,'212142',1896,0.24,0,64,78,50 
5,279,10,'212142',1896,0,0,42,55,29 
6,280,10,'212142',1896,0,0,39,57,20 
7,281,10,'212142',1896,0,0,39,57,20 
8,282,10,'212142',1896,0,0,48,67,28 
9,283,10,'212142',1896,0,0,55,67,43 
10,284,10,'212142',1896,0.9,0,43,51,34 
11,285,10,'212142',1896,0.01,0,48,60,36 
12,286,10,'212142',1896,0,0,54,69,39 
13,287,10,'212142',1896,0,0,50,70,30 
14,288,10,'212142',1896,0,0,54,71,36 
15,289,10,'212142',1896,0,0,.,74,. 
16,290,10,'212142',1896,0,0,43,60,26 
17,291,10,'212142',1896,0,0,39,53,25 
18,292,10,'212142',1896,0,0,29,39,19 
19,293,10,'212142',1896,0,0,37,50,24 
20,294,10,'212142',1896,0,0,31,44,17 
21,295,10,'212142',1896,0,0,35,52,18 
22,296,10,'212142',1896,0,0,34,50,17 
23,297,10,'212142',1896,0,0,40,59,21 
24,298,10,'212142',1896,0,0,.,56,. 
25,299,10,'212142',1896,0,0,45,62,27 
26,300,10,'212142',1896,0,0,50,70,30 
27,301,10,'212142',1896,0,0,50,71,29 
28,302,10,'212142',1896,0.12,0,53,70,36 
29,303,10,'212142',1896,0,0,37,52,21 
30,304,10,'212142',1896,0,0,39,51,27 
31,305,10,'212142',1896,.,0,40,51,28 
1,306,11,'212142',1896,.,.,.,.,. 
2,307,11,'212142',1896,.,.,.,.,. 
3,308,11,'212142',1896,.,.,.,.,. 
4,309,11,'212142',1896,.,.,.,.,. 
5,310,11,'212142',1896,.,.,.,.,. 
6,311,11,'212142',1896,.,.,.,.,. 
7,312,11,'212142',1896,.,.,.,.,. 
8,313,11,'212142',1896,.,.,.,.,. 
9,314,11,'212142',1896,.,.,.,.,. 
10,315,11,'212142',1896,.,.,.,.,. 
11,316,11,'212142',1896,.,.,.,.,. 
12,317,11,'212142',1896,.,.,.,.,. 
13,318,11,'212142',1896,.,.,.,.,. 
14,319,11,'212142',1896,.,.,.,.,. 
15,320,11,'212142',1896,.,.,.,.,. 
16,321,11,'212142',1896,.,.,.,.,. 
17,322,11,'212142',1896,0,.,7,17,-3 
18,323,11,'212142',1896,0,.,27,61,-7 
19,324,11,'212142',1896,0,.,10,36,-16 
20,325,11,'212142',1896,0,.,17,37,-3 
21,326,11,'212142',1896,0.2,.,3,27,-21 
22,327,11,'212142',1896,0,.,-1,22,-23 
23,328,11,'212142',1896,0,.,10,23,-4 
24,329,11,'212142',1896,.,.,4,17,-10 
25,330,11,'212142',1896,.,.,29,43,15 
26,331,11,'212142',1896,.,.,20,30,10 
27,332,11,'212142',1896,.,.,.,.,11 
28,333,11,'212142',1896,.,.,.,.,. 
29,334,11,'212142',1896,.,.,.,.,. 
30,335,11,'212142',1896,.,.,.,-15,. 
1,336,12,'212142',1896,0,.,-21,-1,-40 
2,337,12,'212142',1896,0,.,.,9,. 
3,338,12,'212142',1896,.,.,.,19,. 
4,339,12,'212142',1896,0.1,.,.,21,. 
5,340,12,'212142',1896,0,.,18,27,9 
6,341,12,'212142',1896,0,.,5,22,-13 
7,342,12,'212142',1896,0,.,.,.,7 
8,343,12,'212142',1896,0,.,.,.,9 
9,344,12,'212142',1896,0,.,.,.,8 
10,345,12,'212142',1896,0,.,33,42,24 
11,346,12,'212142',1896,0,.,.,.,19 
12,347,12,'212142',1896,0,.,24,39,9 
13,348,12,'212142',1896,0,.,.,38,. 
14,349,12,'212142',1896,0,.,.,.,. 
15,350,12,'212142',1896,0,.,23,36,10 
16,351,12,'212142',1896,0,.,26,33,19 
17,352,12,'212142',1896,0,.,15,34,-5 
18,353,12,'212142',1896,0,.,.,20,. 
19,354,12,'212142',1896,0,.,7,21,-8 
20,355,12,'212142',1896,0,.,4,14,-7 
21,356,12,'212142',1896,0,.,5,21,-11 
22,357,12,'212142',1896,0,.,9,23,-5 
23,358,12,'212142',1896,0,.,8,23,-8 
24,359,12,'212142',1896,0,.,-2,15,-19 
25,360,12,'212142',1896,0,.,.,9,. 
26,361,12,'212142',1896,0,.,4,23,-15 
27,362,12,'212142',1896,0,.,.,38,. 
28,363,12,'212142',1896,0,.,31,42,20 
29,364,12,'212142',1896,0,.,25,41,8 
30,365,12,'212142',1896,0,.,24,42,5 
31,366,12,'212142',1896,0,.,21,29,13 
1,1,1,'212142',1897,0.5,.,26,42,10 
2,2,1,'212142',1897,0,.,9,19,-2 
3,3,1,'212142',1897,0.3,.,5,8,2 
4,4,1,'212142',1897,0.4,.,5,11,-2 
5,5,1,'212142',1897,0,.,-5,6,-16 
6,6,1,'212142',1897,0,.,-8,9,-25 
7,7,1,'212142',1897,0,.,9,25,-8 
8,8,1,'212142',1897,0,.,21,45,-4 
9,9,1,'212142',1897,0,.,31,45,16 
10,10,1,'212142',1897,0,.,9,25,-8 
11,11,1,'212142',1897,0,.,5,18,-8 
12,12,1,'212142',1897,0,.,-8,9,-25 
13,13,1,'212142',1897,0,.,-2,8,-12 
14,14,1,'212142',1897,0,.,3,18,-12 
15,15,1,'212142',1897,0,.,23,37,9 
16,16,1,'212142',1897,0,.,14,28,0 
17,17,1,'212142',1897,0.27,.,8,29,-14 
18,18,1,'212142',1897,0,.,-8,6,-22 
19,19,1,'212142',1897,0,.,1,20,-19 
20,20,1,'212142',1897,0,.,7,21,-8 
21,21,1,'212142',1897,0.1,.,-3,20,-26 
22,22,1,'212142',1897,0.15,.,1,21,-20 
23,23,1,'212142',1897,0,.,-18,-4,-31 
24,24,1,'212142',1897,0,.,-22,-11,-33 
25,25,1,'212142',1897,0,.,-21,-12,-29 
26,26,1,'212142',1897,0,.,-26,-9,-43 
27,27,1,'212142',1897,0,.,-21,-2,-39 
28,28,1,'212142',1897,0,.,-7,5,-18 
29,29,1,'212142',1897,0,.,-1,5,-6 
30,30,1,'212142',1897,0,.,11,26,-5 
31,31,1,'212142',1897,0,.,25,34,15 
1,32,2,'212142',1897,0,.,.,40,. 
2,33,2,'212142',1897,0,.,29,37,21 
3,34,2,'212142',1897,0,.,31,38,24 
4,35,2,'212142',1897,0,.,32,42,22 
5,36,2,'212142',1897,0,.,28,35,21 
6,37,2,'212142',1897,0,.,31,33,29 
7,38,2,'212142',1897,0,.,18,25,10 
8,39,2,'212142',1897,0,.,.,21,. 
9,40,2,'212142',1897,0,.,.,21,. 
10,41,2,'212142',1897,0,.,3,15,-9 
11,42,2,'212142',1897,0,.,.,29,. 
12,43,2,'212142',1897,0.02,.,22,25,18 
13,44,2,'212142',1897,0.75,.,16,21,10 
14,45,2,'212142',1897,0,.,12,25,-2 
15,46,2,'212142',1897,0,.,3,28,-22 
16,47,2,'212142',1897,0,.,16,31,1 
17,48,2,'212142',1897,0.3,.,15,31,-2 
18,49,2,'212142',1897,0,.,5,29,-20 
19,50,2,'212142',1897,0,.,6,31,-19 
20,51,2,'212142',1897,0,.,15,26,3 
21,52,2,'212142',1897,0,.,.,29,. 
22,53,2,'212142',1897,0,.,.,21,. 
23,54,2,'212142',1897,0,.,.,10,. 
24,55,2,'212142',1897,0,.,.,10,. 
25,56,2,'212142',1897,0,.,.,3,. 
26,57,2,'212142',1897,0,.,.,-1,. 
27,58,2,'212142',1897,0,.,2,29,-25 
28,59,2,'212142',1897,0,.,-12,11,-34 
1,60,3,'212142',1897,0,.,-7,-1,-12 
2,61,3,'212142',1897,0,.,.,.,. 
3,62,3,'212142',1897,0,.,10,24,-4 
4,63,3,'212142',1897,0,.,17,36,-3 
5,64,3,'212142',1897,0,.,.,24,. 
6,65,3,'212142',1897,0,.,5,24,-15 
7,66,3,'212142',1897,0.5,.,.,29,. 
8,67,3,'212142',1897,0.02,.,20,30,9 
9,68,3,'212142',1897,0,.,.,33,. 
10,69,3,'212142',1897,0,.,1,23,-21 
11,70,3,'212142',1897,0,.,-2,10,-14 
12,71,3,'212142',1897,0,.,.,27,. 
13,72,3,'212142',1897,0,.,.,.,. 
14,73,3,'212142',1897,0,.,.,.,. 
15,74,3,'212142',1897,0,.,.,65,. 
16,75,3,'212142',1897,0,.,.,65,. 
17,76,3,'212142',1897,0.35,.,36,40,32 
18,77,3,'212142',1897,0,.,.,56,. 
19,78,3,'212142',1897,0.25,.,.,43,. 
20,79,3,'212142',1897,0,.,22,23,21 
21,80,3,'212142',1897,0,.,18,32,4 
22,81,3,'212142',1897,0,.,18,29,7 
23,82,3,'212142',1897,0,.,16,31,1 
24,83,3,'212142',1897,0,.,17,28,6 
25,84,3,'212142',1897,0,.,18,28,7 
26,85,3,'212142',1897,0,.,.,46,. 
27,86,3,'212142',1897,0,.,26,44,8 
28,87,3,'212142',1897,0,.,42,53,30 
29,88,3,'212142',1897,0,.,.,52,. 
30,89,3,'212142',1897,0.32,.,.,55,. 
31,90,3,'212142',1897,0,.,48,57,38 
1,91,4,'212142',1897,0,0,47,59,34 
2,92,4,'212142',1897,0,0,45,56,34 
3,93,4,'212142',1897,0,0,39,45,33 
4,94,4,'212142',1897,0.14,0,45,55,34 
5,95,4,'212142',1897,0.3,0,40,48,31 
6,96,4,'212142',1897,0,0,38,47,29 
7,97,4,'212142',1897,0,0,34,42,26 
8,98,4,'212142',1897,0,0,32,44,20 
9,99,4,'212142',1897,0,0,38,54,21 
10,100,4,'212142',1897,0.2,0,34,43,24 
11,101,4,'212142',1897,0,0,41,57,25 
12,102,4,'212142',1897,0,0,44,53,35 
13,103,4,'212142',1897,0.04,0,45,56,34 
14,104,4,'212142',1897,0,0,41,55,26 
15,105,4,'212142',1897,0.1,0,47,65,29 
16,106,4,'212142',1897,0,0,34,49,19 
17,107,4,'212142',1897,0,0,43,61,24 
18,108,4,'212142',1897,0,0,54,73,34 
19,109,4,'212142',1897,0,0,24,36,11 
20,110,4,'212142',1897,0,0,32,52,12 
21,111,4,'212142',1897,0.5,0,41,56,26 
22,112,4,'212142',1897,0.5,0,51,71,31 
23,113,4,'212142',1897,0,0,47,64,30 
24,114,4,'212142',1897,0,0,46,56,35 
25,115,4,'212142',1897,0,0,51,65,37 
26,116,4,'212142',1897,0,0,49,67,31 
27,117,4,'212142',1897,0,0,51,61,41 
28,118,4,'212142',1897,0.4,0,61,86,36 
29,119,4,'212142',1897,0,0,38,49,27 
30,120,4,'212142',1897,0,0,43,59,27 
1,121,5,'212142',1897,0,.,45,60,30 
2,122,5,'212142',1897,0,.,45,65,25 
3,123,5,'212142',1897,0,.,65,74,55 
4,124,5,'212142',1897,0,.,60,76,44 
5,125,5,'212142',1897,0,.,61,74,48 
6,126,5,'212142',1897,0,.,71,91,50 
7,127,5,'212142',1897,0,.,66,76,56 
8,128,5,'212142',1897,0,.,72,86,58 
9,129,5,'212142',1897,0.77,.,65,80,50 
10,130,5,'212142',1897,0,.,57,68,45 
11,131,5,'212142',1897,0,.,55,65,45 
12,132,5,'212142',1897,0,.,50,60,40 
13,133,5,'212142',1897,0,.,50,57,42 
14,134,5,'212142',1897,0.22,.,46,52,40 
15,135,5,'212142',1897,0,.,43,51,35 
16,136,5,'212142',1897,0,.,67,84,50 
17,137,5,'212142',1897,0,.,70,85,55 
18,138,5,'212142',1897,0,.,72,87,57 
19,139,5,'212142',1897,0,.,69,82,55 
20,140,5,'212142',1897,0,.,66,80,52 
21,141,5,'212142',1897,0,.,53,55,50 
22,142,5,'212142',1897,0,.,62,68,56 
23,143,5,'212142',1897,0,.,48,62,34 
24,144,5,'212142',1897,0,.,50,58,42 
25,145,5,'212142',1897,0,.,53,63,42 
26,146,5,'212142',1897,0.3,.,63,70,55 
27,147,5,'212142',1897,0,.,64,68,60 
28,148,5,'212142',1897,0,.,61,67,55 
29,149,5,'212142',1897,0.05,.,62,72,52 
30,150,5,'212142',1897,0,.,46,58,34 
31,151,5,'212142',1897,0,.,46,60,32 
1,152,6,'212142',1897,0,.,47,58,35 
2,153,6,'212142',1897,0.84,.,48,54,42 
3,154,6,'212142',1897,0.4,.,45,49,40 
4,155,6,'212142',1897,0,.,51,61,41 
5,156,6,'212142',1897,0,.,47,60,34 
6,157,6,'212142',1897,0,.,43,58,28 
7,158,6,'212142',1897,0,.,42,55,28 
8,159,6,'212142',1897,0.1,.,48,62,34 
9,160,6,'212142',1897,0.4,.,60,70,50 
10,161,6,'212142',1897,0.22,.,60,65,54 
11,162,6,'212142',1897,0.7,.,53,64,41 
12,163,6,'212142',1897,0,.,65,76,54 
13,164,6,'212142',1897,0,.,65,87,43 
14,165,6,'212142',1897,0,.,74,94,54 
15,166,6,'212142',1897,0.15,.,80,92,67 
16,167,6,'212142',1897,0.12,.,78,90,66 
17,168,6,'212142',1897,0.89,.,69,79,59 
18,169,6,'212142',1897,0,.,70,86,54 
19,170,6,'212142',1897,0,.,64,74,54 
20,171,6,'212142',1897,0,.,61,76,46 
21,172,6,'212142',1897,0,.,59,76,41 
22,173,6,'212142',1897,0,.,68,78,58 
23,174,6,'212142',1897,0.2,.,55,70,40 
24,175,6,'212142',1897,0.04,.,58,74,42 
25,176,6,'212142',1897,0,.,54,70,38 
26,177,6,'212142',1897,0,.,49,62,36 
27,178,6,'212142',1897,0.55,.,56,70,42 
28,179,6,'212142',1897,2,.,64,74,54 
29,180,6,'212142',1897,0,.,67,77,57 
30,181,6,'212142',1897,0,.,62,73,50 
1,182,7,'212142',1897,0.65,.,70,80,60 
2,183,7,'212142',1897,0,.,79,90,68 
3,184,7,'212142',1897,1.03,.,79,90,68 
4,185,7,'212142',1897,1.1,.,71,83,59 
5,186,7,'212142',1897,0,.,65,74,56 
6,187,7,'212142',1897,0.4,.,72,82,62 
7,188,7,'212142',1897,0,.,71,80,62 
8,189,7,'212142',1897,1.42,.,70,80,60 
9,190,7,'212142',1897,0.05,.,79,92,66 
10,191,7,'212142',1897,0,.,68,75,60 
11,192,7,'212142',1897,0,.,69,74,63 
12,193,7,'212142',1897,0,.,64,69,58 
13,194,7,'212142',1897,0,.,63,75,50 
14,195,7,'212142',1897,0.2,.,66,77,55 
15,196,7,'212142',1897,0,.,67,78,55 
16,197,7,'212142',1897,0,.,76,84,68 
17,198,7,'212142',1897,0,.,75,82,68 
18,199,7,'212142',1897,0,.,75,84,66 
19,200,7,'212142',1897,0.36,.,76,85,66 
20,201,7,'212142',1897,0.5,.,77,87,67 
21,202,7,'212142',1897,2.1,.,70,78,62 
22,203,7,'212142',1897,0.12,.,65,72,58 
23,204,7,'212142',1897,0,.,63,64,62 
24,205,7,'212142',1897,0,.,61,70,52 
25,206,7,'212142',1897,0,.,68,78,58 
26,207,7,'212142',1897,0,.,72,82,62 
27,208,7,'212142',1897,0,.,75,79,70 
28,209,7,'212142',1897,0,.,74,80,68 
29,210,7,'212142',1897,0,.,75,86,64 
30,211,7,'212142',1897,0,.,.,82,. 
31,212,7,'212142',1897,0,.,.,85,. 
1,213,8,'212142',1897,0,.,.,82,. 
2,214,8,'212142',1897,0,.,.,80,. 
3,215,8,'212142',1897,0,.,.,69,. 
4,216,8,'212142',1897,0,.,.,68,. 
5,217,8,'212142',1897,0,.,63,78,48 
6,218,8,'212142',1897,0,.,69,85,52 
7,219,8,'212142',1897,0,.,65,78,51 
8,220,8,'212142',1897,0,.,68,82,54 
9,221,8,'212142',1897,0,.,63,70,56 
10,222,8,'212142',1897,0,.,.,.,. 
11,223,8,'212142',1897,0,.,54,67,40 
12,224,8,'212142',1897,0,.,61,76,46 
13,225,8,'212142',1897,0,.,70,80,60 
14,226,8,'212142',1897,0.45,.,65,73,56 
