Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
Day  ,JD  ,Month  ,State_id  ,Year  ,PRCP (in),TAVE (F),TMAX (F),TMIN (F) 
1,60,3,'417945',1947,0,47,57,36 
2,61,3,'417945',1947,0,41,55,27 
3,62,3,'417945',1947,0,53,70,36 
4,63,3,'417945',1947,0,60,76,43 
5,64,3,'417945',1947,0,65,76,54 
6,65,3,'417945',1947,0.09,45,54,35 
7,66,3,'417945',1947,0.02,40,49,30 
8,67,3,'417945',1947,0,44,62,26 
9,68,3,'417945',1947,0,47,60,34 
10,69,3,'417945',1947,0,57,66,48 
11,70,3,'417945',1947,0,59,69,48 
12,71,3,'417945',1947,0.09,68,81,54 
13,72,3,'417945',1947,0,54,67,41 
14,73,3,'417945',1947,0,53,72,33 
15,74,3,'417945',1947,0,41,49,32 
16,75,3,'417945',1947,0,45,63,27 
17,76,3,'417945',1947,0,52,72,32 
18,77,3,'417945',1947,1.22,54,63,44 
19,78,3,'417945',1947,0,55,64,45 
20,79,3,'417945',1947,0,55,69,40 
21,80,3,'417945',1947,0,60,76,44 
22,81,3,'417945',1947,0,65,70,59 
23,82,3,'417945',1947,0.04,70,84,55 
24,83,3,'417945',1947,0,66,79,52 
25,84,3,'417945',1947,0,61,75,46 
26,85,3,'417945',1947,0,61,80,41 
27,86,3,'417945',1947,0,72,90,53 
28,87,3,'417945',1947,0,60,69,50 
29,88,3,'417945',1947,0,66,77,55 
30,89,3,'417945',1947,0,66,76,55 
31,90,3,'417945',1947,0,65,71,58 
1,91,4,'417945',1947,0.01,77,88,65 
2,92,4,'417945',1947,0,73,85,61 
3,93,4,'417945',1947,0,74,81,67 
4,94,4,'417945',1947,0,75,81,68 
5,95,4,'417945',1947,0,66,81,50 
6,96,4,'417945',1947,0,65,87,43 
7,97,4,'417945',1947,0.01,69,80,57 
8,98,4,'417945',1947,0,76,82,69 
9,99,4,'417945',1947,0,79,89,69 
10,100,4,'417945',1947,0,73,88,58 
11,101,4,'417945',1947,0,69,87,50 
12,102,4,'417945',1947,0,64,75,52 
13,103,4,'417945',1947,0.02,55,61,49 
14,104,4,'417945',1947,0.02,58,69,46 
15,105,4,'417945',1947,0,56,71,40 
16,106,4,'417945',1947,0,58,66,49 
17,107,4,'417945',1947,0,55,72,37 
18,108,4,'417945',1947,0,62,82,42 
19,109,4,'417945',1947,0,74,84,63 
20,110,4,'417945',1947,0,69,82,56 
21,111,4,'417945',1947,0,67,82,51 
22,112,4,'417945',1947,0,77,88,66 
23,113,4,'417945',1947,0,77,85,69 
24,114,4,'417945',1947,0,79,87,71 
25,115,4,'417945',1947,0,65,74,55 
26,116,4,'417945',1947,0.22,56,58,53 
27,117,4,'417945',1947,0.02,60,65,55 
28,118,4,'417945',1947,0,71,77,65 
29,119,4,'417945',1947,0,74,79,68 
30,120,4,'417945',1947,0,78,86,70 
1,121,5,'417945',1947,0,79,95,62 
2,122,5,'417945',1947,0,75,91,58 
3,123,5,'417945',1947,0,78,95,60 
4,124,5,'417945',1947,0,80,98,62 
5,125,5,'417945',1947,0,80,98,62 
6,126,5,'417945',1947,0,79,94,63 
7,127,5,'417945',1947,0,78,92,63 
8,128,5,'417945',1947,0,76,90,62 
9,129,5,'417945',1947,0.14,78,86,69 
10,130,5,'417945',1947,0.48,72,78,66 
11,131,5,'417945',1947,0,76,85,66 
12,132,5,'417945',1947,0,80,89,70 
13,133,5,'417945',1947,0,81,90,72 
14,134,5,'417945',1947,0,83,92,73 
15,135,5,'417945',1947,0.03,79,86,72 
16,136,5,'417945',1947,1.38,71,79,62 
17,137,5,'417945',1947,0.26,78,89,66 
18,138,5,'417945',1947,0.06,71,80,62 
19,139,5,'417945',1947,0,80,89,70 
20,140,5,'417945',1947,0.05,77,90,64 
21,141,5,'417945',1947,0,67,80,54 
22,142,5,'417945',1947,0,67,82,52 
23,143,5,'417945',1947,0.29,74,80,67 
24,144,5,'417945',1947,0.62,75,86,64 
25,145,5,'417945',1947,0,70,82,58 
26,146,5,'417945',1947,0,69,84,54 
27,147,5,'417945',1947,0,73,86,60 
28,148,5,'417945',1947,0,80,91,69 
29,149,5,'417945',1947,0,68,77,59 
30,150,5,'417945',1947,0,67,74,59 
31,151,5,'417945',1947,0.01,78,89,67 
1,152,6,'417945',1947,0,83,93,73 
2,153,6,'417945',1947,0,84,93,75 
3,154,6,'417945',1947,0,84,94,74 
4,155,6,'417945',1947,0,81,91,71 
5,156,6,'417945',1947,0,82,93,71 
6,157,6,'417945',1947,0,83,94,72 
7,158,6,'417945',1947,0,84,94,74 
8,159,6,'417945',1947,0,83,93,73 
9,160,6,'417945',1947,0,84,93,74 
10,161,6,'417945',1947,0,85,96,74 
11,162,6,'417945',1947,0,84,94,73 
12,163,6,'417945',1947,0,86,97,75 
13,164,6,'417945',1947,0,83,91,74 
14,165,6,'417945',1947,0,78,88,68 
15,166,6,'417945',1947,0,75,81,68 
16,167,6,'417945',1947,0,78,86,70 
17,168,6,'417945',1947,0,80,95,65 
18,169,6,'417945',1947,0,86,97,74 
19,170,6,'417945',1947,0.01,83,92,74 
20,171,6,'417945',1947,0.28,84,93,75 
21,172,6,'417945',1947,0,87,95,78 
22,173,6,'417945',1947,0,87,95,79 
23,174,6,'417945',1947,0,88,97,79 
24,175,6,'417945',1947,0.02,84,96,71 
25,176,6,'417945',1947,0,87,96,77 
26,177,6,'417945',1947,0,88,99,77 
27,178,6,'417945',1947,0,88,100,75 
28,179,6,'417945',1947,0,89,101,77 
29,180,6,'417945',1947,0,88,99,76 
30,181,6,'417945',1947,0,87,98,75 
1,182,7,'417945',1947,0,87,98,75 
2,183,7,'417945',1947,0,85,100,70 
3,184,7,'417945',1947,0,86,100,72 
4,185,7,'417945',1947,0,86,100,72 
5,186,7,'417945',1947,0,84,97,70 
6,187,7,'417945',1947,0,82,96,67 
7,188,7,'417945',1947,0,83,96,69 
8,189,7,'417945',1947,0.25,85,100,70 
9,190,7,'417945',1947,0,84,95,72 
10,191,7,'417945',1947,0,84,94,74 
11,192,7,'417945',1947,0,84,95,73 
12,193,7,'417945',1947,0.08,88,100,76 
13,194,7,'417945',1947,0,85,94,76 
14,195,7,'417945',1947,0,87,98,75 
15,196,7,'417945',1947,0,87,99,74 
16,197,7,'417945',1947,0,88,100,75 
17,198,7,'417945',1947,0,88,102,73 
18,199,7,'417945',1947,0,88,103,73 
19,200,7,'417945',1947,0.67,76,82,70 
20,201,7,'417945',1947,0,82,97,66 
21,202,7,'417945',1947,0,82,98,66 
22,203,7,'417945',1947,0,84,99,68 
23,204,7,'417945',1947,0,85,96,73 
24,205,7,'417945',1947,0,85,96,74 
25,206,7,'417945',1947,0,81,93,68 
26,207,7,'417945',1947,0,83,95,70 
27,208,7,'417945',1947,0,83,95,70 
28,209,7,'417945',1947,0,84,97,70 
29,210,7,'417945',1947,0,82,96,68 
30,211,7,'417945',1947,0,83,97,69 
31,212,7,'417945',1947,0,85,98,71 
1,213,8,'417945',1947,0.05,81,91,71 
2,214,8,'417945',1947,0.31,83,91,74 
3,215,8,'417945',1947,0.08,84,94,74 
4,216,8,'417945',1947,0.01,84,93,74 
5,217,8,'417945',1947,0,84,95,72 
6,218,8,'417945',1947,0,85,96,74 
7,219,8,'417945',1947,0,84,99,69 
8,220,8,'417945',1947,0,85,100,69 
9,221,8,'417945',1947,0,87,101,72 
10,222,8,'417945',1947,0.54,88,104,72 
11,223,8,'417945',1947,0,81,92,70 
12,224,8,'417945',1947,0.32,84,94,73 
13,225,8,'417945',1947,0,85,96,73 
14,226,8,'417945',1947,0,84,95,73 
15,227,8,'417945',1947,0,83,96,69 
16,228,8,'417945',1947,0,85,97,73 
17,229,8,'417945',1947,0.01,85,96,73 
18,230,8,'417945',1947,0.04,85,96,73 
19,231,8,'417945',1947,0,84,96,71 
20,232,8,'417945',1947,0.64,82,94,70 
21,233,8,'417945',1947,0.42,80,88,72 
22,234,8,'417945',1947,0.33,82,92,72 
23,235,8,'417945',1947,0,83,94,72 
24,236,8,'417945',1947,0.34,84,94,73 
25,237,8,'417945',1947,1.15,82,92,71 
26,238,8,'417945',1947,1.1,78,86,69 
27,239,8,'417945',1947,0,84,94,74 
28,240,8,'417945',1947,0,84,94,74 
29,241,8,'417945',1947,0,83,94,72 
30,242,8,'417945',1947,0,83,94,71 
31,243,8,'417945',1947,0,85,99,70 
1,244,9,'417945',1947,0,86,101,70 
2,245,9,'417945',1947,0,87,100,73 
3,246,9,'417945',1947,0,84,97,71 
4,247,9,'417945',1947,0,83,95,70 
5,248,9,'417945',1947,0,82,96,68 
6,249,9,'417945',1947,0,83,96,69 
7,250,9,'417945',1947,0,83,95,71 
8,251,9,'417945',1947,0,84,95,73 
9,252,9,'417945',1947,0,85,96,74 
10,253,9,'417945',1947,0,85,96,74 
11,254,9,'417945',1947,0,87,97,76 
12,255,9,'417945',1947,0.06,81,90,71 
13,256,9,'417945',1947,0,82,93,71 
14,257,9,'417945',1947,0,85,95,74 
15,258,9,'417945',1947,0,82,90,73 
16,259,9,'417945',1947,0,82,96,68 
17,260,9,'417945',1947,0,85,95,74 
18,261,9,'417945',1947,0,82,95,69 
19,262,9,'417945',1947,0,83,97,69 
20,263,9,'417945',1947,0,84,100,67 
21,264,9,'417945',1947,0,82,97,66 
22,265,9,'417945',1947,0,76,86,66 
23,266,9,'417945',1947,0,74,86,61 
24,267,9,'417945',1947,0,70,88,51 
25,268,9,'417945',1947,0,72,89,54 
26,269,9,'417945',1947,0,74,89,59 
27,270,9,'417945',1947,0,75,89,61 
28,271,9,'417945',1947,0,75,89,61 
29,272,9,'417945',1947,0,74,87,61 
30,273,9,'417945',1947,0,70,86,54 
1,274,10,'417945',1947,0,69,87,51 
2,275,10,'417945',1947,0,74,87,60 
3,276,10,'417945',1947,0,78,91,64 
4,277,10,'417945',1947,0,81,91,71 
5,278,10,'417945',1947,0,80,93,66 
6,279,10,'417945',1947,0,80,90,69 
7,280,10,'417945',1947,0,79,92,66 
8,281,10,'417945',1947,0.06,78,92,64 
9,282,10,'417945',1947,0,79,91,67 
10,283,10,'417945',1947,0,78,90,65 
11,284,10,'417945',1947,0,76,91,61 
12,285,10,'417945',1947,0,79,90,67 
13,286,10,'417945',1947,0,74,84,63 
14,287,10,'417945',1947,0,76,89,62 
15,288,10,'417945',1947,0,76,90,61 
16,289,10,'417945',1947,0,78,91,64 
17,290,10,'417945',1947,0,81,92,70 
18,291,10,'417945',1947,0,82,92,72 
19,292,10,'417945',1947,0,77,91,62 
20,293,10,'417945',1947,0,73,90,56 
21,294,10,'417945',1947,0,73,90,55 
22,295,10,'417945',1947,0,73,87,59 
23,296,10,'417945',1947,0,74,89,59 
24,297,10,'417945',1947,0,75,90,59 
25,298,10,'417945',1947,0,73,84,62 
26,299,10,'417945',1947,0,77,88,66 
27,300,10,'417945',1947,0,74,80,68 
28,301,10,'417945',1947,0,77,86,67 
29,302,10,'417945',1947,0.13,75,84,65 
30,303,10,'417945',1947,0,80,90,70 
31,304,10,'417945',1947,0,74,88,60 
1,305,11,'417945',1947,0,65,78,51 
2,306,11,'417945',1947,0,62,76,47 
3,307,11,'417945',1947,0,63,80,46 
4,308,11,'417945',1947,0,72,87,56 
5,309,11,'417945',1947,0,67,84,50 
6,310,11,'417945',1947,0,74,87,61 
7,311,11,'417945',1947,0,52,66,37 
8,312,11,'417945',1947,0,52,73,30 
9,313,11,'417945',1947,0.01,54,67,40 
10,314,11,'417945',1947,0.02,73,89,56 
11,315,11,'417945',1947,0,56,66,46 
12,316,11,'417945',1947,0,54,71,36 
13,317,11,'417945',1947,0.2,53,58,48 
14,318,11,'417945',1947,0.03,63,78,47 
15,319,11,'417945',1947,0,59,77,41 
16,320,11,'417945',1947,0,56,69,43 
17,321,11,'417945',1947,0.26,54,59,49 
18,322,11,'417945',1947,0.05,52,57,47 
19,323,11,'417945',1947,0,50,56,44 
20,324,11,'417945',1947,0,53,59,46 
21,325,11,'417945',1947,0.03,62,65,58 
22,326,11,'417945',1947,0.16,54,63,44 
23,327,11,'417945',1947,0,51,58,43 
24,328,11,'417945',1947,0,53,65,41 
25,329,11,'417945',1947,0.24,53,64,41 
26,330,11,'417945',1947,0.01,54,67,41 
27,331,11,'417945',1947,0,55,74,36 
28,332,11,'417945',1947,0,53,65,40 
29,333,11,'417945',1947,0,52,69,34 
30,334,11,'417945',1947,0,58,68,47 
1,335,12,'417945',1947,0,59,70,47 
2,336,12,'417945',1947,0,64,76,52 
3,337,12,'417945',1947,0.28,70,77,63 
4,338,12,'417945',1947,0,66,70,62 
5,339,12,'417945',1947,0,68,74,62 
6,340,12,'417945',1947,0,71,78,63 
7,341,12,'417945',1947,0,68,72,63 
8,342,12,'417945',1947,0.34,58,63,53 
9,343,12,'417945',1947,0.09,58,63,52 
10,344,12,'417945',1947,0,50,57,42 
11,345,12,'417945',1947,0.02,45,53,36 
12,346,12,'417945',1947,0.03,38,42,34 
13,347,12,'417945',1947,0,45,52,38 
14,348,12,'417945',1947,0.87,38,44,32 
15,349,12,'417945',1947,0.21,47,60,34 
16,350,12,'417945',1947,0,46,60,31 
17,351,12,'417945',1947,0,49,64,34 
18,352,12,'417945',1947,0,49,64,33 
19,353,12,'417945',1947,0,47,61,32 
20,354,12,'417945',1947,0,55,67,43 
21,355,12,'417945',1947,0,51,65,36 
22,356,12,'417945',1947,0,56,73,38 
23,357,12,'417945',1947,0,53,64,41 
24,358,12,'417945',1947,0,45,55,34 
25,359,12,'417945',1947,0,43,55,31 
26,360,12,'417945',1947,0,46,66,26 
27,361,12,'417945',1947,0,52,72,32 
28,362,12,'417945',1947,0,54,71,36 
29,363,12,'417945',1947,0,57,76,37 
30,364,12,'417945',1947,0.01,57,71,42 
31,365,12,'417945',1947,0.05,61,81,41 
1,1,1,'417945',1948,0,46,59,33 
2,2,1,'417945',1948,0,44,58,29 
3,3,1,'417945',1948,0,56,74,38 
4,4,1,'417945',1948,0,58,72,44 
5,5,1,'417945',1948,0,55,71,38 
6,6,1,'417945',1948,0,58,69,46 
7,7,1,'417945',1948,0,55,63,46 
8,8,1,'417945',1948,0,65,74,55 
9,9,1,'417945',1948,0,64,72,55 
10,10,1,'417945',1948,0,58,63,52 
11,11,1,'417945',1948,0,55,61,49 
12,12,1,'417945',1948,0,61,72,50 
13,13,1,'417945',1948,0,41,53,29 
14,14,1,'417945',1948,0,42,60,24 
15,15,1,'417945',1948,0,48,68,27 
16,16,1,'417945',1948,0,44,56,32 
17,17,1,'417945',1948,0,34,44,24 
18,18,1,'417945',1948,0.04,33,47,19 
19,19,1,'417945',1948,0.2,35,37,33 
20,20,1,'417945',1948,0.01,41,48,33 
21,21,1,'417945',1948,0,49,69,29 
22,22,1,'417945',1948,0,56,79,33 
23,23,1,'417945',1948,0,41,53,29 
24,24,1,'417945',1948,0,34,49,19 
25,25,1,'417945',1948,0.02,37,43,31 
26,26,1,'417945',1948,0.16,34,36,31 
27,27,1,'417945',1948,0.01,29,34,23 
28,28,1,'417945',1948,0.17,24,28,20 
29,29,1,'417945',1948,0,32,42,22 
30,30,1,'417945',1948,0,40,58,22 
31,31,1,'417945',1948,0,44,62,25 
1,32,2,'417945',1948,0.61,41,44,37 
2,33,2,'417945',1948,0.31,43,46,40 
3,34,2,'417945',1948,0.04,46,51,41 
4,35,2,'417945',1948,0.02,58,65,51 
5,36,2,'417945',1948,0.03,56,63,48 
6,37,2,'417945',1948,0.01,49,54,44 
7,38,2,'417945',1948,0.02,53,60,46 
8,39,2,'417945',1948,0,42,51,32 
9,40,2,'417945',1948,0,39,52,25 
10,41,2,'417945',1948,0,42,54,29 
11,42,2,'417945',1948,0,53,75,31 
12,43,2,'417945',1948,0.05,28,33,23 
13,44,2,'417945',1948,0,43,60,26 
14,45,2,'417945',1948,0,46,64,28 
15,46,2,'417945',1948,0,48,67,28 
16,47,2,'417945',1948,0,59,79,38 
17,48,2,'417945',1948,0,62,81,43 
18,49,2,'417945',1948,0.01,67,73,61 
19,50,2,'417945',1948,0,70,81,59 
20,51,2,'417945',1948,0.01,57,67,46 
21,52,2,'417945',1948,0.32,44,47,40 
22,53,2,'417945',1948,0,41,46,35 
23,54,2,'417945',1948,0.06,52,62,41 
24,55,2,'417945',1948,0.08,65,72,57 
25,56,2,'417945',1948,0.01,70,73,66 
26,57,2,'417945',1948,0,66,72,60 
27,58,2,'417945',1948,0.24,62,75,48 
28,59,2,'417945',1948,0,66,84,47 
29,60,2,'417945',1948,0.04,66,75,56 
1,61,3,'417945',1948,0.02,73,84,61 
2,62,3,'417945',1948,0,58,63,52 
3,63,3,'417945',1948,0,58,68,47 
4,64,3,'417945',1948,0,52,56,47 
5,65,3,'417945',1948,0.03,43,47,38 
6,66,3,'417945',1948,0,50,62,37 
7,67,3,'417945',1948,0,51,68,34 
8,68,3,'417945',1948,0.05,54,61,47 
9,69,3,'417945',1948,0.27,58,70,46 
10,70,3,'417945',1948,0,48,67,28 
11,71,3,'417945',1948,0.01,27,33,21 
12,72,3,'417945',1948,0,36,50,22 
13,73,3,'417945',1948,0,42,61,23 
14,74,3,'417945',1948,0,57,72,41 
15,75,3,'417945',1948,0,74,85,63 
16,76,3,'417945',1948,0,71,82,59 
17,77,3,'417945',1948,0,69,81,56 
18,78,3,'417945',1948,0.03,74,84,64 
19,79,3,'417945',1948,0,75,85,65 
20,80,3,'417945',1948,0,76,84,67 
21,81,3,'417945',1948,0.01,76,83,69 
22,82,3,'417945',1948,0.15,62,77,47 
23,83,3,'417945',1948,0,64,88,39 
24,84,3,'417945',1948,0,66,83,49 
25,85,3,'417945',1948,0,73,80,65 
26,86,3,'417945',1948,0,69,85,53 
27,87,3,'417945',1948,0,60,72,48 
28,88,3,'417945',1948,0,60,72,48 
29,89,3,'417945',1948,0,58,78,37 
30,90,3,'417945',1948,0,74,92,56 
31,91,3,'417945',1948,0.02,72,87,57 
1,92,4,'417945',1948,0.01,58,72,44 
2,93,4,'417945',1948,0,58,73,43 
3,94,4,'417945',1948,0,60,76,44 
4,95,4,'417945',1948,0,68,83,52 
5,96,4,'417945',1948,0,76,89,63 
6,97,4,'417945',1948,0,81,94,67 
7,98,4,'417945',1948,0,83,98,68 
8,99,4,'417945',1948,0,81,93,68 
9,100,4,'417945',1948,0,80,90,70 
10,101,4,'417945',1948,0,80,90,70 
11,102,4,'417945',1948,0,81,96,66 
12,103,4,'417945',1948,0,82,94,69 
13,104,4,'417945',1948,0,65,75,55 
14,105,4,'417945',1948,0,64,80,48 
15,106,4,'417945',1948,0,66,86,45 
16,107,4,'417945',1948,0,70,89,51 
17,108,4,'417945',1948,0,70,88,52 
18,109,4,'417945',1948,0,70,88,51 
19,110,4,'417945',1948,0,76,88,64 
20,111,4,'417945',1948,0,78,88,67 
21,112,4,'417945',1948,0,77,89,65 
22,113,4,'417945',1948,0.44,73,85,60 
23,114,4,'417945',1948,0.05,74,87,61 
24,115,4,'417945',1948,0,77,84,70 
25,116,4,'417945',1948,0.9,68,84,52 
26,117,4,'417945',1948,0,72,92,51 
27,118,4,'417945',1948,0,73,91,55 
28,119,4,'417945',1948,0,74,91,56 
29,120,4,'417945',1948,0,75,91,58 
30,121,4,'417945',1948,0,79,91,66 
1,122,5,'417945',1948,0,84,97,70 
2,123,5,'417945',1948,0,81,93,69 
3,124,5,'417945',1948,0,84,95,73 
4,125,5,'417945',1948,0,78,89,66 
5,126,5,'417945',1948,0,83,94,71 
6,127,5,'417945',1948,0.2,70,82,57 
